fast_ma,slow_ma,Net PnL,Final Value,CAGR
5,30,531937.43,1531937.43,4.56%
5,40,533295.03,1533295.03,4.57%
5,50,535507.51,1535507.51,4.59%
5,60,533485.98,1533485.98,4.57%
5,70,537467.72,1537467.72,4.60%
5,80,538236.75,1538236.75,4.61%
5,90,538236.75,1538236.75,4.61%
5,100,538236.75,1538236.75,4.61%
10,30,535176.42,1535176.42,4.58%
10,40,538632.64,1538632.64,4.61%
10,50,536204.72,1536204.72,4.59%
10,60,530753.25,1530753.25,4.55%
10,70,531869.14,1531869.14,4.56%
10,80,539217.73,1539217.73,4.61%
10,90,540669.92,1540669.92,4.62%
10,100,535598.59,1535598.59,4.59%
15,30,532669.67,1532669.67,4.57%
15,40,531869.14,1531869.14,4.56%
15,50,531869.14,1531869.14,4.56%
15,60,528877.13,1528877.13,4.54%
15,70,531900.65,1531900.65,4.56%
15,80,541141.13,1541141.13,4.63%
15,90,561072.55,1561072.55,4.77%
15,100,557166.15,1557166.15,4.74%
20,30,541852.35,1541852.35,4.63%
20,40,534505.52,1534505.52,4.58%
20,50,531900.65,1531900.65,4.56%
20,60,534475.72,1534475.72,4.58%
20,70,530800.57,1530800.57,4.55%
20,80,531052.79,1531052.79,4.55%
20,90,557166.15,1557166.15,4.74%
20,100,556526.76,1556526.76,4.74%
